scientific_name,inat_common_name,ref_common_name,comment
Androsace graceae,,圆叶点地梅,Missed common name on iNat
Jasminum nudiflorum,迎春,迎春花,Inconsistent common name
Phyllanthus emblica,余甘子,余甘子,Matched
Cynanchum rostellatum,萝藦,萝藦,Matched
Cirsium,蓟属,蓟属,Matched
Hemerocallis,萱草属,萱草属,Matched
Koelreuteria paniculata,栾树,栾,Inconsistent common name
Hosta,玉簪属,玉簪属,Matched
Lonicera maackii,金银忍冬,金银忍冬,Matched
Fraxinus chinensis,白蜡树,白蜡树,Matched
Lupinus polyphyllus,多叶羽扇豆,多叶羽扇豆,Matched
Xanthium strumarium sibiricum,,,Missed common name on iNat
Euphorbia maculata,斑地锦,斑地锦草,Inconsistent common name
Eschenbachia japonica,白酒草,白酒草,Matched
Ficus,榕属,榕属,Matched
Phytolacca,商陆属,商陆属,Matched
Broussonetia papyrifera,构树,构,Inconsistent common name
Ailanthus,臭椿属,臭椿属,Matched
Pittosporum tobira,海桐,海桐,Matched
Lagerstroemia indica,紫薇,紫薇,Matched
Solanum nigrum,龙葵复合群,龙葵,Inconsistent common name
Artemisia,蒿属,蒿属,Matched
Nandina domestica,南天竹,南天竹,Matched
Ligustrum,女贞属,女贞属,Matched
Rubus,悬钩子属,悬钩子属,Matched
Senna corymbosa,伞房决明,伞房决明,Matched
Osmanthus fragrans,木樨,木樨,Matched
Digitaria,马唐属,马唐属,Matched
Bidens,鬼针草属,鬼针草属,Matched
Salix babylonica,垂柳,垂柳,Matched
Setaria,狗尾草属,狗尾草属,Matched
Polygonum,萹蓄属,萹蓄属,Matched
Metasequoia glyptostroboides,水杉,水杉,Matched
Ailanthus altissima,臭椿,臭椿,Matched
Eriobotrya japonica,枇杷,枇杷,Matched
Drynaria,槲蕨属,槲蕨属,Matched
Setaria viridis,狗尾草,狗尾草,Matched
Boehmeria nivea,苎麻,苎麻,Matched
Amaranthus,苋属,苋属,Matched
Cunninghamia lanceolata,福州杉,杉木,Inconsistent common name
Ipomoea batatas,番薯,番薯,Matched
Citrus × aurantium,酸橙,酸橙,Matched
Solanum pseudocapsicum,珊瑚樱,珊瑚樱,Matched
Abutilon theophrasti,苘麻,苘麻,Matched
Echinochloa crus-galli,稗,稗,Matched
Stellaria media,繁缕,繁缕,Matched
Erigeron annuus,一年蓬,一年蓬,Matched
Artemisia annua,黄花蒿,黄花蒿,Matched
Mirabilis jalapa,紫茉莉,紫茉莉,Matched
Anredera cordifolia,川七,落葵薯,Inconsistent common name
Colocasia,芋属,芋属,Matched
Pyrus,梨属,梨属,Matched
Zingiber officinale,姜,姜,Matched
Selaginella,卷柏属,卷柏属,Matched
Pteris vittata,蜈蚣草,蜈蚣凤尾蕨,Inconsistent common name
Asplenium,铁角蕨属,铁角蕨属,Matched
Pinus,松属,松属,Matched
Prunus persica nucipersica,,,Missed common name on iNat
Zoysia,结缕草属,结缕草属,Matched
Cycas,苏铁属,苏铁属,Matched
Juniperus,刺柏属,刺柏属,Matched
Koelreuteria,栾树属,栾属,Inconsistent common name
Yucca aloifolia,千手丝兰,,Species not included in reference
Rhus,盐肤木属,盐麸木属,Inconsistent common name
Berberis thunbergii,日本小檗,日本小檗,Matched
Carex,薹草属,薹草属,Matched
Solanum,茄属,茄属,Matched
Alchornea davidii,山麻杆,山麻秆,Inconsistent common name
Sambucus,接骨木属,接骨木属,Matched
Erigeron,飞蓬属,飞蓬属,Matched
Salix,柳属,柳属,Matched
Arundo donax,芦竹,芦竹,Matched
Pistia stratiotes,大漂,大薸,Inconsistent common name
Cucurbita,南瓜属,南瓜属,Matched
Clematis,铁线莲属,铁线莲属,Matched
Corallodiscus lanuginosus,珊瑚苣苔,珊瑚苣苔,Matched
Silene,蝇子草属,蝇子草属,Matched
Zephyranthes candida,葱莲,葱莲,Matched
Hydrocotyle,天胡荽属,天胡荽属,Matched
Cyperus,莎草属,莎草属,Matched
Salvia umbratica,荫生鼠尾草,荫生鼠尾草,Matched
Pedicularis ternata,,三叶马先蒿,Missed common name on iNat
Viola,堇菜属,堇菜属,Matched
Datura stramonium,曼陀罗,曼陀罗,Matched
Onosma,滇紫草属,滇紫草属,Matched
Adenophora,沙参属,沙参属,Matched
Arisaema,天南星属,天南星属,Matched
Polygala,远志属,远志属,Matched
Delphinium,翠雀属,翠雀属,Matched
Codonopsis,党参属,党参属,Matched
Sedum,景天属,景天属,Matched
Geranium,老鹳草属,老鹳草属,Matched
Rhynchosia,鹿藿属,鹿藿属,Matched
Selaginella pulvinata,垫状卷柏,垫状卷柏,Matched
Begonia,秋海棠属,秋海棠属,Matched
Impatiens,凤仙花属,凤仙花属,Matched
Plagiochasma,紫背苔属,紫背苔属,Matched
Satyrium nepalense,鸟足兰,鸟足兰,Matched
Sorghum,高粱属,高粱属,Matched
Tofieldia divergens,叉柱岩菖蒲,叉柱岩菖蒲,Matched
Habenaria,玉凤花属,玉凤花属,Matched
Hemipilia,红门兰属,舌喙兰属,Inconsistent common name
Halenia elliptica,椭圆叶花锚,卵萼花锚,Inconsistent common name
Swertia delavayi,,丽江獐牙菜,Missed common name on iNat
Berberis,小檗属,小檗属,Matched
Allium,葱属,葱属,Matched
Tagetes tenuifolia,,,Missed common name on iNat
Satyrium yunnanense yunnanense,,,Missed common name on iNat
Incarvillea diffusa,两头毛,,Species not included in reference
Commelina communis,鸭跖草,鸭跖草,Matched
Opuntia monacantha,单刺仙人掌,,Species not included in reference
Murdannia,水竹叶属,水竹叶属,Matched
Imperata cylindrica,白茅,白茅,Matched
Centella asiatica,积雪草,积雪草,Matched
Cyperus flavidus flavidus,,,Missed common name on iNat
Cyperus brevifolius,短叶水蜈蚣,,Species not included in reference
Pedicularis,马先蒿属,马先蒿属,Matched
Equisetum ramosissimum,分支木贼,节节草,Inconsistent common name
Fimbristylis,飘拂草属,飘拂草属,Matched
Pseudognaphalium,拟鼠麴草属,鼠曲草属,Inconsistent common name
Aster ageratoides,三脉紫菀,三脉紫菀,Matched
Oxalis corniculata,酢浆草,酢浆草,Matched
Lygodium japonicum,海金沙,海金沙,Matched
Gentianopsis,扁蕾属,扁蕾属,Matched
Eriocapitella vitifolia,野棉花,,Species not included in reference
Adiantum,铁线蕨属,铁线蕨属,Matched
Podocarpus,罗汉松属,罗汉松属,Matched
Cenchrus,蒺藜草属,蒺藜草属,Matched
Pueraria,葛属,葛属,Matched
Pteridium aquilinum,欧洲蕨,欧洲蕨,Matched
Paulownia tomentosa,毛泡桐,毛泡桐,Matched
Oplismenus hirtellus,小糙毛求米草,,Species not included in reference
Gentianopsis barbata,扁蕾,扁蕾,Matched
Primula poissonii,海仙报春,海仙报春,Matched
Strobilanthes,马蓝属,马蓝属,Matched
Fragaria,草莓属,草莓属,Matched
Salvia castanea,,栗色鼠尾草,Missed common name on iNat
Monotropa hypopitys,松下兰,,Species not included in reference
Fragaria nilgerrensis,黄毛草莓,黄毛草莓,Matched
Trentepohlia,橘色藻属,,Species not included in reference
Hippuris vulgaris,杉叶藻,杉叶藻,Matched
Batrachium,水毛茛亚属,水毛茛属,Inconsistent common name
Tibetia yunnanensis,云南高山豆,云南高山豆,Matched
Cannabis sativa,大麻,大麻,Matched
Salvia przewalskii,甘西鼠尾草,甘西鼠尾草,Matched
Dracocephalum,青兰属,青兰属,Matched
Cyananthus delavayi,,细叶蓝钟花,Missed common name on iNat
Bistorta officinalis,欧洲拳参,拳参,Inconsistent common name
Kudoa,多枝组,,Species not included in reference
Rosa sericea,绢毛蔷薇,绢毛蔷薇,Matched
Comastoma,喉毛花属,喉毛花属,Matched
Quercus guyavifolia,帽斗栎,帽斗栎,Matched
Selliguea,修蕨属,修蕨属,Matched
Neottia,鸟巢兰属,鸟巢兰属,Matched
Larix,落叶松属,落叶松属,Matched
Euphorbia jolkinii,,大狼毒,Missed common name on iNat
Leonurus japonicus,益母草,益母草,Matched
Aster,紫菀属,紫菀属,Matched
Lemna minor,浮萍,浮萍,Matched
Miscanthus,芒属,芒属,Matched
Magnolia grandiflora,广玉兰,荷花木兰,Inconsistent common name
Sonchus asper,花叶滇苦菜,续断菊,Inconsistent common name
Platanus × hispanica,二球悬铃木,,Species not included in reference
Eriocapitella hupehensis,秋牡丹,,Species not included in reference
Potentilla indica,蛇莓,,Species not included in reference
Loropetalum chinense rubrum,红花檵木,,Species not included in reference
Youngia japonica,黄鹌菜,黄鹌菜,Matched
Hibiscus mutabilis,木芙蓉,木芙蓉,Matched
Photinia,石楠属,石楠属,Matched
Thladiantha nudiflora,南赤瓟,南赤瓟,Matched
Prenanthes,盘果菊属,,Species not included in reference
Alkekengi officinarum franchetii,挂金灯,,Species not included in reference
Humulus scandens,葎草,葎草,Matched
Trachycarpus fortunei,棕榈,棕榈,Matched
Sarcopyramis napalensis,槠头红,楮头红,Inconsistent common name
Impatiens piufanensis,块节凤仙花,,Species not included in reference
Heptapleurum delavayi,穗序鹅掌柴,穗序鹅掌柴,Matched
Polystichum,耳蕨属,耳蕨属,Matched
Lycianthes,红丝线属,红丝线属,Matched
Cornus kousa,四照花,,Species not included in reference
Artemisia lactiflora,白苞蒿,白苞蒿,Matched
Urena lobata,地桃花,地桃花,Matched
Pollia japonica,,杜若,Missed common name on iNat
Torenia,蝴蝶草属,蝴蝶草属,Matched
Hyptis,香苦草属,吊球草属,Inconsistent common name
Camellia oleifera,油茶,油茶,Matched
Goodyera schlechtendaliana,斑叶兰,斑叶兰,Matched
Chimonanthus praecox,腊梅,蜡梅,Inconsistent common name
Bischofia javanica,秋枫,秋枫,Matched
Cinnamomum camphora,樟,樟,Matched
Pilea cadierei,花叶冷水花,花叶冷水花,Matched
Thalia dealbata,再力花,,Species not included in reference
Jacaranda mimosifolia,蓝花楹,蓝花楹,Matched
Celosia argentea,青葙,青葙,Matched
Bambusa multiplex,小琴丝竹（凤尾竹）,孝顺竹,Inconsistent common name
Fatsia japonica,八角金盘,八角金盘,Matched
Aucuba japonica,青木,青木,Matched
Abutilon,苘麻属,苘麻属,Matched
Erigeron sumatrensis,苏门白酒草,苏门白酒草,Matched
Sonchus oleraceus,苦苣菜,苦苣菜,Matched
Populus × canadensis,加杨,加杨,Matched
Eleusine indica,牛筋草,牛筋草,Matched
Cucurbita maxima,笋瓜,笋瓜,Matched
Brassica rapa,油菜,蔓菁,Inconsistent common name
Allium cepa,洋葱,洋葱,Matched
Pisum,豌豆属,豌豆属,Matched
Beta,甜菜属,甜菜属,Matched
Bidens frondosa,大狼耙草,大狼耙草,Matched
Oryza sativa,稻,稻,Matched
Alternanthera philoxeroides,空心莲子草,喜旱莲子草,Inconsistent common name
Sporobolus africanus,,,Missed common name on iNat
Equisetum,木贼属,木贼属,Matched
Plantago major,大车前,大车前,Matched
Galinsoga parviflora,牛膝菊,牛膝菊,Matched
Parietaria,墙草属,墙草属,Matched
Gnaphalium,鼠麴草属,湿鼠曲草属,Inconsistent common name
Cardamine,碎米荠属,碎米荠属,Matched
Coriandrum sativum,芫荽,芫荽,Matched
Bauhinia monandra,单蕊羊蹄甲,,Species not included in reference
Heptapleurum arboricola,鹅掌藤,鹅掌藤,Matched
Euonymus fortunei,扶芳藤,扶芳藤,Matched
Rhaphiolepis,石斑木属,石斑木属,Matched
Acer palmatum,鸡爪槭,鸡爪槭,Matched
Canna,美人蕉属,美人蕉属,Matched
Cornus,四照花属,山茱萸属,Inconsistent common name
Podocarpus macrophyllus,罗汉松,罗汉松,Matched
Senna,决明属,决明属,Matched
Cortaderia jubata,,,Missed common name on iNat
Osmanthus,木樨属,木樨属,Matched
Cycas revoluta,苏铁,苏铁,Matched
Pinus bungeana,白皮松,白皮松,Matched
Physalis,酸浆属,洋酸浆属,Inconsistent common name
Acer,槭树属,槭属,Inconsistent common name
Aristolochia,马兜铃属,马兜铃属,Matched
Christella,小毛蕨属,,Species not included in reference
Triadica sebifera,乌桕,乌桕,Matched
Trapa natans,欧菱,欧菱,Matched
Populus,杨属,杨属,Matched
Cupressus,柏木属,柏木属,Matched
Melia,楝属,楝属,Matched
Tradescantia pallida,紫竹梅,,Species not included in reference
Livistona chinensis,蒲葵,蒲葵,Matched
Perilla frutescens,紫苏,紫苏,Matched
Commelina,鸭跖草属,鸭跖草属,Matched
Urochloa,尾稃草属,尾稃草属,Matched
Achyranthes aspera,土牛膝,土牛膝,Matched
Rostellularia procumbens,,,Missed common name on iNat
Phaseolus,菜豆属,菜豆属,Matched
Capsicum frutescens,小米椒,,Species not included in reference
Celosia spicata,鸡冠花,,Species not included in reference
Solanum tuberosum,土豆,马铃薯,Inconsistent common name
Gossypium hirsutum,陆地棉,陆地棉,Matched
Leptochloa,千金子属,千金子属,Matched
Desmodium,山蚂蝗属,山蚂蝗属,Matched
Desmodium,山蚂蝗属,山蚂蟥属,Inconsistent common name
Vernicia fordii,油桐,油桐,Matched
Vitex canescens,,灰毛牡荆,Missed common name on iNat
Nintooa,忍冬组,,Species not included in reference
Vitex negundo cannabifolia,,,Missed common name on iNat
Carpesium abrotanoides,天名精,天名精,Matched
Gynura aurantiaca,紫鹅绒,,Species not included in reference
Agrimonia,龙芽草属,龙牙草属,Inconsistent common name
Clerodendrum,大青属,大青属,Matched
Smilax davidiana,小果菝葜,小果菝葜,Matched
Asplenium sarelii,,华中铁角蕨,Missed common name on iNat
Cheilanthes chusana,毛轴碎米蕨,毛轴碎米蕨,Matched
Quercus fabri,白栎,白栎,Matched
Akebia trifoliata,三叶木通,三叶木通,Matched
Veronicastrum stenostachyum,细穗腹水草,细穗腹水草,Matched
Oryzopsis,,,Missed common name on iNat
Achnatherum,芨芨草属,羽茅属,Inconsistent common name
Cotoneaster,栒子属,栒子属,Matched
Hypnum cupressiforme,灰藓,灰藓,Matched
Vitex negundo,黄荆,黄荆,Matched
Urochloa villosa,,,Missed common name on iNat
Trisetum bifidum,,,Missed common name on iNat
Morus,桑属,桑属,Matched
Trifolium repens,白花三叶草,白车轴草,Inconsistent common name
Euphorbia hirta,飞扬草,飞扬草,Matched
Cynoglossum zeylanicum,琉璃草,,Species not included in reference
Zanthoxylum,花椒属,花椒属,Matched
Triadica,乌桕属,乌桕属,Matched
Ficus lacor,,,Missed common name on iNat
Taxus,红豆杉属,红豆杉属,Matched
Phoenix,海枣属,海枣属,Matched
Symphyotrichum subulatum,钻叶紫菀,钻叶紫菀,Matched
Youngia,黄鹌菜属,黄鹌菜属,Matched
Cardamine occulta,弯曲碎米荠,碎米荠,Inconsistent common name
Lobelia chinensis,半边莲,半边莲,Matched
Rorippa globosa,风花菜,风花菜,Matched
Phyllanthus,叶下珠属,叶下珠属,Matched
Senecio,千里光属,千里光属,Matched
Rorippa dubia,无瓣蔊菜,无瓣蔊菜,Matched
Hydrilla verticillata,黑藻,黑藻,Matched
Liriodendron chinense,鹅掌楸,鹅掌楸,Matched
Typha angustifolia,水烛,水烛,Matched
Cinnamomum parthenoxylon,黄樟,黄樟,Matched
Galium,拉拉藤属,拉拉藤属,Matched
Rosa,蔷薇属,蔷薇属,Matched
Polygonum jucundum,愉悦蓼,,Species not included in reference
Malus,苹果属,苹果属,Matched
Ipomoea cairica,五爪金龙,五爪金龙,Matched
Gazania,勋章菊属,,Species not included in reference
Ranunculus abortivus,小花毛茛,,Species not included in reference
Alnus serrulata,光榿木,,Species not included in reference
Viola bicolor,,,Missed common name on iNat
Betula nigra,河桦,,Species not included in reference
Rosa multiflora,野蔷薇,野蔷薇,Matched
Gnetum parvifolium,小叶买麻藤,小叶买麻藤,Matched
Elaeocarpus sylvestris,山杜英,山杜英,Matched
Gardenia jasminoides,栀子花,栀子,Inconsistent common name
Castanopsis fissa,黧蒴锥,黧蒴锥,Matched
Artabotrys,,鹰爪花属,Missed common name on iNat
Asparagus filicinus,羊齿天门冬,羊齿天门冬,Matched
Lygodium microphyllum,小叶海金沙,小叶海金沙,Matched
Osmunda angustifolia,,,Missed common name on iNat
Alpinia,山姜属,山姜属,Matched
Psychotria asiatica,九节,九节,Matched
Glochidion eriocarpum,毛果算盘子,毛果算盘子,Matched
Ilex asprella,秤星树,秤星树,Matched
Oenothera speciosa,美丽月见草,,Species not included in reference
Rudbeckia hirta,黑心金光菊,黑心菊,Inconsistent common name
Penstemon digitalis,毛地黄钓钟柳,,Species not included in reference
Bombax ceiba,木棉,木棉,Matched
Phyllostachys edulis,毛竹,毛竹,Matched
Pinus elliottii,湿地松,湿地松,Matched
Stipa,针茅属,针茅属,Matched
Prunus persica,桃,桃,Matched
Nelumbo nucifera,莲,莲,Matched
Campsis grandiflora,凌霄,凌霄,Matched
Calystegia hederacea,打碗花,打碗花,Matched
Albizia julibrissin,合欢,合欢,Matched
Prunella,夏枯草属,夏枯草属,Matched
Chlorophytum comosum,吊兰,吊兰,Matched
Geranium refractum,折瓣老鹳草,反瓣老鹳草,Inconsistent common name
Hedera,常春藤属,常春藤属,Matched
Lablab purpureus,扁豆,扁豆,Matched
Jatropha integerrima,琴叶珊瑚,变叶珊瑚花,Inconsistent common name
Hamelia patens,长隔木,长隔木,Matched
Bauhinia,羊蹄甲属,羊蹄甲属,Matched
Allamanda cathartica,软枝黄蝉,软枝黄蝉,Matched
Osbeckia stellata,星毛金锦香,星毛金锦香,Matched
Calliandra haematocephala,朱缨花,朱缨花,Matched
Jacobaea maritima,银叶菊,,Species not included in reference
Petunia,矮牵牛属,矮牵牛属,Matched
Odontosoria chinensis,乌蕨,乌蕨,Matched
Dicranopteris,芒萁属,芒萁属,Matched
Passiflora caerulea,西番莲,西番莲,Matched
Microsteris gracilis humilior,,,Missed common name on iNat
Prunus serrulata,山樱,山樱桃,Inconsistent common name
Taraxacum officinale,药用蒲公英,,Species not included in reference
Wisteria sinensis,紫藤,紫藤,Matched
Hypericum japonicum,地耳草,地耳草,Matched
Chamaecrista mimosoides,山扁豆,含羞草山扁豆,Inconsistent common name
Plumbago auriculata,蓝花丹,蓝花丹,Matched
Duranta,金露花属,假连翘属,Inconsistent common name
Mandevilla,飘香藤属,飘香藤属,Matched
Ligustrum japonicum,日本女贞,日本女贞,Matched
Buxus sempervirens,锦熟黄杨,,Species not included in reference
Buddleja,醉鱼草属,醉鱼草属,Matched
Rhododendron mucronatum,白花杜鹃,白花杜鹃,Matched
Morus alba,桑,桑,Matched
Gleditsia triacanthos,美国皂荚,美国皂荚,Matched
Cyclosorus,毛蕨属,毛蕨属,Matched
Pteris multifida,井栏边草,井栏边草,Matched
Iris japonica,蝴蝶花,蝴蝶花,Matched
Oxalis triangularis,紫叶酢浆草,,Species not included in reference
Pinus torreyana torreyana,,,Missed common name on iNat
Adiantum flabellulatum,扇叶铁线蕨,扇叶铁线蕨,Matched
Ulmus,榆属,榆属,Matched
Podophyllum hexandrum,桃儿七,,Species not included in reference
Cypripedium tibeticum,西藏杓兰,西藏杓兰,Matched
Senna alata,翅果决明,翅荚决明,Inconsistent common name
Ficus altissima,高山榕,高山榕,Matched
Mallotus barbatus,毛桐,毛桐,Matched
Justicia croceochlamys,金翎花,,Species not included in reference
Passiflora miniata,红花西番莲,,Species not included in reference
Mimosa pudica,含羞草,含羞草,Matched
Limnocharis flava,黄花蔺,黄花蔺,Matched
Tabernaemontana,狗牙花属,狗牙花属,Matched
Barringtonia acutangula,红花玉蕊,,Species not included in reference
Carica papaya,番木瓜,番木瓜,Matched
Caesalpinia pulcherrima,洋金凤,洋金凤,Matched
Dendrobium thyrsiflorum,球花石斛,球花石斛,Matched
Leonotis nepetifolia,荆芥叶狮耳花,荆芥叶狮耳花,Matched
Odontonema tubaeforme,鸡冠爵床,,Species not included in reference
Mussaenda,玉叶金花属,玉叶金花属,Matched
Codariocalyx motorius,舞草,舞草,Matched
Momordica cochinchinensis,木鳖子,木鳖子,Matched
Artocarpus heterophyllus,菠萝蜜,波罗蜜,Inconsistent common name
Nyctocalos,照夜白属,照夜白属,Matched
Adiantum philippense,半月形铁线蕨,半月形铁线蕨,Matched
Gomphocarpus physocarpus,钝钉头果（气球果）,钝钉头果,Inconsistent common name
Solanum torvum,水茄,水茄,Matched
Nyctocalos pinnatum,羽叶照夜白,,Species not included in reference
Calliandra,朱缨花属,朱缨花属,Matched
Mussaenda hossei,红毛玉叶金花,红毛玉叶金花,Matched
Clerodendrum japonicum,赪桐,赪桐,Matched
Costus dubius,大苞闭鞘姜,,Species not included in reference
Blechnum orientale,乌毛蕨,,Species not included in reference
Ixora,龙船花属,龙船花属,Matched
Nymphaea rubra,印度红睡莲,,Species not included in reference
Diospyros discolor,异色柿,,Species not included in reference
Trevesia palmata,刺通草,刺通草,Matched
Musa acuminata,小果野芭蕉,小果野蕉,Inconsistent common name
Platycerium,鹿角蕨属,鹿角蕨属,Matched
Amorphophallus paeoniifolius,疣柄魔芋,疣柄魔芋,Matched
Paraboea rufescens,锈色蛛毛苣苔,锈色蛛毛苣苔,Matched
Pleroma heteromallum,银叶野牡丹,,Species not included in reference
Heliconia rostrata,金嘴蝎尾蕉,,Species not included in reference
Etlingera elatior,瓷玫瑰（火炬姜）,火炬姜,Inconsistent common name
Syzygium samarangense,洋蒲桃,洋蒲桃,Matched
Heliconia,蝎尾蕉属,,Species not included in reference
Costus,宝塔姜属,闭鞘姜属,Inconsistent common name
Calanthe,虾脊兰属,虾脊兰属,Matched
Nymphaea lotus,齿叶睡莲,齿叶睡莲,Matched
Victoria,王莲属,,Species not included in reference
Costus barbatus,宝塔姜,,Species not included in reference
Musa velutina,朝天蕉,,Species not included in reference
Annona muricata,刺果番荔枝,刺果番荔枝,Matched
Acalypha wilkesiana,红桑,红桑,Matched
Mansoa alliacea,,,Missed common name on iNat
Clerodendrum thomsoniae,龙吐珠,龙吐珠,Matched
Begonia longifolia,粗喙秋海棠,粗喙秋海棠,Matched
Tacca chantrieri,老虎须,箭根薯,Inconsistent common name
Aristolochia gigantea,巴西马兜铃,,Species not included in reference
Thunbergia affinis,灌状山牵牛,,Species not included in reference
Roscoea cautleyoides,早花象牙参,,Species not included in reference
Euphorbia cotinifolia,紫锦木,紫锦木,Matched
Clerodendrum paniculatum,圆锥大青,圆锥大青,Matched
Peltophorum pterocarpum,盾柱木,盾柱木,Matched
Citrus maxima,柚子,柚,Inconsistent common name
Gloriosa superba,嘉兰,嘉兰,Matched
Costus pictus,纹瓣闭鞘姜,,Species not included in reference
Costus scaber,洋宝塔姜,,Species not included in reference
Drynaria coronans,崖姜蕨,崖姜,Inconsistent common name
Clerodendrum colebrookianum,腺茉莉,腺茉莉,Matched
Sesbania grandiflora,,大花田菁,Missed common name on iNat
Codiaeum variegatum,变叶木,变叶木,Matched
Trichosanthes,栝楼属,栝楼属,Matched
Hibiscus rosa-sinensis,朱槿,朱槿,Matched
Nymphaea,睡莲属,睡莲属,Matched
Spathoglottis,苞舌兰属,苞舌兰属,Matched
Billbergia pyramidalis,,,Missed common name on iNat
Calanthe triplicata,三褶虾脊兰,三褶虾脊兰,Matched
Crinum,文珠兰属,文殊兰属,Inconsistent common name
Tulbaghia violacea,紫娇花,,Species not included in reference
Iris domestica,射干,,Species not included in reference
Galphimia gracilis,金英,金英,Matched
Ixora javanica,爪哇龙船花,,Species not included in reference
Jatropha,麻疯树属,麻风树属,Inconsistent common name
Chrysopogon aciculatus,竹节草,竹节草,Matched
Wurfbainia biflora,双花砂仁,,Species not included in reference
Magnolia macclurei,醉香含笑,,Species not included in reference
Bixa orellana,红木,红木,Matched
Plumeria rubra,红鸡蛋花,鸡蛋花,Inconsistent common name
Dianthus chinensis,石竹,石竹,Matched
Epiphyllum oxypetalum,昙花,昙花,Matched
Pyrrosia,石韦属,石韦属,Matched
Sagittaria montevidensis,,,Missed common name on iNat
Aglaia odorata,米仔兰,米仔兰,Matched
Solanum muricatum,南美香瓜茄,香瓜茄,Inconsistent common name
Ornithogalum saundersiae,,,Missed common name on iNat
Aechmea fasciata,美叶光萼荷,,Species not included in reference
Rhododendron mucronulatum,迎红杜鹃,迎红杜鹃,Matched
Pulsatilla chinensis,白头翁,白头翁,Matched
Angiopteris,观音座莲属,观音座莲属,Matched
Centaurea solstitialis,,,Missed common name on iNat
Pieris japonica,马醉木,马醉木,Matched
Gentiana urnula,乌奴龙胆,乌奴龙胆,Matched
Geophila,爱地草属,爱地草属,Matched
Ricinus communis,蓖麻,蓖麻,Matched
Pometia,番龙眼属,番龙眼属,Matched
Stauranthera,,十字苣苔属,Missed common name on iNat
Calotropis gigantea,牛角瓜,牛角瓜,Matched
Echinochloa oryzoides,水田稗,水田稗,Matched
Camptotheca acuminata,喜树,喜树,Matched
Hedychium flavum,黄姜花,黄姜花,Matched
Amorphophallus,魔芋属,魔芋属,Matched
Hackelia brachytuba,,大叶假鹤虱,Missed common name on iNat
Tiarella polyphylla,黄水枝,黄水枝,Matched
Galium asperuloides hoffmeisteri,六叶葎,,Species not included in reference
Rhododendron calophytum,美容杜鹃,美容杜鹃,Matched
Meehania fargesii,华西龙头草,华西龙头草,Matched
Sedum emarginatum,凹叶景天,凹叶景天,Matched
Pilea martini,,大叶冷水花,Missed common name on iNat
Sinacalia davidii,双花华蟹甲,双花华蟹甲,Matched
Peracarpa carnosa,袋果草,袋果草,Matched
